Height.m.x,zmax,zmean,zsd,zskew,zkurt,zentropy,pzabovezmean,pzabove2,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95
11.85,9.5145,2.716396316,2.403868834,0.362941859,2.02366239,0.821208704,50,57.06806283,2.71375,3.1385,3.52165,3.8671125,4.217275,4.5915,4.95875,5.3951625,5.965075,6.855725
9.45,11.298,2.846941454,2.452883246,0.750206702,3.130749017,0.806137913,45.72697003,59.71143174,2.532,2.8865,3.254,3.605375,3.9597,4.41825,4.929,5.46915,6.04475,7.3741
6.4,4.8305,0.653033931,1.030951072,1.683291518,4.864374888,0.532375435,27.84810127,14.06469761,0.117625,0.1446375,0.1809,0.2254875,0.397525,1.05225,1.4522,1.894425,2.352775,2.9645
9.65,7.56375,1.164027746,1.580525246,1.388831538,4.078828275,0.598283761,35.57199772,24.9857712,0.20475,0.3254,0.74255,1.2195,1.61675,1.99925,2.5173,3.02965,3.69455,4.55865
5.45,8.2545,0.885151743,1.352750695,2.032336164,7.332704258,0.470928181,31.26005362,16.78284182,0.17975,0.2539,0.3646,0.6073,0.98245,1.414,1.75275,2.1636,2.85035,3.7148
7.95,10.8315,1.623310513,2.190039817,1.499416817,4.73419947,0.628208285,36.66450357,32.96560675,0.249,0.72525,1.3005,1.7935,2.315,2.775,3.2305,3.943,4.84675,6.2415
16.85,13.53625,5.895427208,4.301348532,-0.299619329,1.573388376,0.84265511,60.38186158,69.51073986,7.26775,7.7554375,8.23325,8.6296875,9.09225,9.4425625,9.81425,10.346625,11.012125,11.5276875
14.9,11.778,5.51429226,3.871904434,-0.467912171,1.605866317,0.804349447,63.90092879,69.47368421,6.93775,7.261825,7.6472,8.001225,8.37405,8.732125,9.013,9.36885,9.69505,10.208225
16.65,12.9755,6.218800874,4.05419369,-0.569965517,1.807819173,0.831367891,65.50169109,73.05524239,7.624375,8.0021625,8.3998,8.7550625,9.032125,9.3570625,9.68185,10.00175,10.4275,11.1248375
4.1,17.2525,0.107701634,0.497897852,27.12926519,921.292954,0.036931156,23.00653595,0.196078431,0,0,0,0,0.0715,0.0956875,0.12155,0.1628,0.268525,0.5638875
4.4,2.0065,0.14216167,0.302661534,2.910531246,11.6994741,0.155798954,25.1450677,0.064474533,0,0,0,0.066125,0.10525,0.143125,0.18475,0.256,0.445,0.935125
3.45,2.3015,0.168685185,0.267545218,4.198091628,26.18033072,0.108512766,40.56152927,0.418160096,0.129125,0.15075,0.17075,0.1875,0.204525,0.2264375,0.2494,0.280025,0.335925,0.46865
2.33,1.27975,0.075283901,0.129781046,3.361669366,20.57769054,NA,36.87247548,0,0,0,0.0585,0.08295,0.0991,0.117,0.13865,0.16665,0.2126,0.3018
16.1,13.03175,7.216257098,3.73288866,-0.953019944,2.685498187,0.829068366,64.79177934,82.58518118,8.3435,8.6738625,8.966,9.248875,9.559475,9.87925,10.23945,10.50775,10.950825,11.5225
15.1,14.23725,7.034657076,4.025508015,-0.762586008,2.239327802,0.829616094,64.04574696,79.34238742,8.33325,8.7463,9.08545,9.405825,9.71735,10.017625,10.37325,10.697925,11.0502,11.75125
14.2,12.38025,4.597666344,3.967894326,0.047854008,1.42258918,0.811575653,53.98915569,59.79860573,5.39675,6.140625,6.71175,7.179,7.6015,8.066875,8.53825,9.218,9.722,10.45625
15.25,11.89325,6.067767706,2.956116852,-0.69668506,2.859358786,0.886940389,56.27030539,86.93957115,6.54925,6.85925,7.122,7.521075,7.80915,8.106125,8.5408,9.01515,9.5291,10.0641
15.6,11.91775,3.698730769,2.978932081,0.233496514,2.102099228,0.83931653,52.82898919,66.36999364,3.90125,4.26895,4.62035,5.09265,5.4429,5.86925,6.3537,6.9316,7.57995,8.7281
10.1,10.25725,2.900868074,2.157185288,0.078888859,2.096698853,0.779652131,54.0237467,68.00791557,3.107875,3.3674375,3.62875,3.854375,4.11875,4.431,4.812,5.2305,5.78375,6.382625
14,10.5515,3.435435812,2.762488539,0.181832211,1.927060115,0.849864892,52.10800568,64.18758882,3.64275,4.14425,4.5445,4.8675,5.21575,5.51525,5.96075,6.4535,6.9675,7.881625
10,9.56,2.590265002,2.492709306,0.567505061,2.198587537,0.807165224,48.04972139,52.978997,2.33425,2.87205,3.23395,3.5737,3.9106,4.32975,4.864,5.5699,6.35155,7.2026
12.3,9.45375,2.104418493,2.439710525,0.78292875,2.306567251,0.716714501,42.63013699,43.28767123,0.74525,1.6706,2.40345,2.9131,3.45825,4.154,4.69995,5.10755,5.7939,6.74995
12.25,8.8285,1.805656214,2.411650341,1.047321323,2.654226715,0.649748978,35.96087457,35.09781358,0.20025,0.2608625,0.6808,2.03455,2.790575,3.6498125,4.41285,5.1120875,5.8953,6.5556875
12.2,9.41,2.263026647,2.272027783,0.763571171,2.577741879,0.77822445,44.19306184,47.51131222,1.838,2.2039,2.6167,2.97795,3.35965,3.7915,4.34645,4.8888,5.68395,6.77495
9,6.299,0.977364368,1.333960447,1.538236795,4.532100838,0.560771896,32.74605103,20.17010936,0.259375,0.3129375,0.42,0.82025,1.231125,1.6123125,2.02875,2.46425,3.10325,3.9931875
7.15,7.7025,0.531680313,1.259610585,3.040800918,12.53070653,0.339678514,19.92775436,9.873570138,0,0,0,0,0.121,0.24675,0.51575,1.2225,1.977,3.41775
9.45,7.796,1.998831254,1.910838546,0.53601556,2.033655399,0.783678196,45.8305975,45.8305975,1.608,2.0975,2.505,2.864125,3.2062,3.50975,3.89235,4.3983,4.81055,5.369225
8.1,5.42425,0.641784642,1.078799425,1.857137818,5.789888163,0.478514747,28.48344881,13.39491917,0.05775,0.092825,0.13865,0.2198,0.49655,0.961,1.3577,1.85345,2.306,3.139275
9.15,11.09475,1.189927607,1.860002539,1.965008888,7.317237522,0.50967026,33.22528363,25.87790384,0.0925,0.14325,0.34275,1.027625,1.5585,2.07125,2.51825,3.026125,3.77775,4.806125
9.9,8.645,1.599071631,2.078176041,1.123356412,3.214661369,0.677389814,39.50617284,35.69958848,0.13425,0.6436875,1.55325,2.066175,2.476625,2.8469375,3.4574,4.1682875,4.85315,5.8675875
7.2,5.87625,0.681155923,1.205610464,1.886646262,5.805577565,0.503348577,28.37465565,14.43526171,0,0,0,0.1363,0.5302,1.022875,1.48175,1.915875,2.57395,3.502825
9,6.6215,0.592130571,1.265376504,2.340824824,7.828531867,0.408312851,21.95652174,12.98913043,0,0,0,0,0,0.2251875,0.94205,1.6545375,2.6198,3.6525125
11.05,10.07625,2.636254526,2.508153927,0.481980494,2.122103731,0.777611274,48.37702871,55.61797753,2.512875,2.8806875,3.29715,3.7990625,4.192525,4.60925,4.9846,5.4723125,6.1152,7.0197625
14.5,11.3035,3.469448128,2.884197239,0.35258517,2.127508318,0.85345645,50.33801352,63.4425377,3.48025,3.8846,4.33885,4.800075,5.18795,5.642875,6.06675,6.58335,7.50705,8.423925
11.3,9.14525,2.460507755,2.291949203,0.497928757,2.15791285,0.801843017,48.00590842,53.27424914,2.25475,2.685125,3.04125,3.3965,3.7755,4.15475,4.58575,5.150875,5.8015,6.606625
12.5,9.76975,3.02872581,2.490526738,0.364446486,2.209085363,0.8540282,50.77306733,63.44139651,3.07725,3.35405,3.69985,4.04585,4.43795,4.7865,5.17215,5.7086,6.4644,7.5184
13.5,10.734,4.403137541,3.292605602,-0.317150395,1.519263041,0.792900613,61.45038168,66.52126499,5.584375,5.9738,6.28435,6.5794875,6.8256,7.1200625,7.44685,7.6995875,8.05185,8.61185
14,11.11,4.68893939,2.728539008,-0.404107725,2.285148267,0.858071435,57.50142613,80.4335425,5.1845,5.46345,5.72915,6.0563,6.36495,6.6655,7.03175,7.414,7.86695,8.5208
12.95,15.361,6.288870915,4.077974317,-0.029355517,2.01635759,0.915651819,50.47762695,81.85017597,6.35925,7.0288,7.59745,8.31815,8.7786,9.5445,10.21275,11.0052,11.75605,12.7097
13.25,10.01975,3.564572771,3.167830192,-0.015714653,1.342560817,0.728340287,55.80482333,57.59955132,4.6025,5.129975,5.4585,5.752525,6.00225,6.353125,6.68465,7.017675,7.43455,8.00985
12.3,10.377,4.168490005,2.300994191,-0.336238855,2.518017413,0.855422773,55.19258898,82.39882984,4.43675,4.648875,4.8885,5.162875,5.38725,5.669375,6.0025,6.552,7.09275,7.6745
15.5,12.082,4.285191338,3.633870773,0.090776209,1.596119699,0.819824225,52.16548158,63.41305753,4.68275,5.2994,5.86765,6.4866,6.8308,7.434875,7.8905,8.44675,9.08555,9.897775
16,12.8215,3.493721429,3.565420065,0.580992342,1.958368512,0.802464918,44.35064935,52.79220779,2.454,3.431725,4.0227,4.9668625,5.66305,6.59975,7.43325,8.17255,8.960625,9.6293625
11.75,9.485,3.483933341,2.40446323,0.110387017,2.178617554,0.904326678,50.25955639,72.39263804,3.492,3.85795,4.16945,4.4821,4.84125,5.24425,5.60365,6.165175,6.74595,7.450725
6.4,4.979,0.60214301,0.940278985,1.819587887,5.468111654,0.478562698,25.90051458,11.4922813,0.178375,0.1986875,0.22325,0.255625,0.315375,0.7563125,1.273,1.6959375,2.191625,2.8230625
6.15,8.78175,0.78718551,1.389449207,2.463706245,9.6752584,0.427392356,26.25081222,15.46458739,0.1785,0.206975,0.238,0.27175,0.3662,0.967,1.50375,2.112375,2.72305,3.650975
5.8,3.78075,0.268029012,0.688918094,2.841311713,10.40933951,0.322350358,15.58355438,5.371352785,0,0,0,0,0,0,0.1074,0.3520375,1.2526,2.068125
5.2,3.41175,0.304675788,0.57121709,2.352783886,8.103041907,0.322993702,22.07792208,3.339517625,0.049125,0.0885,0.11055,0.1315,0.158475,0.2364375,0.4197,0.7928375,1.174625,1.681875
